Neighborhood,Longitude,Latitude,Borough_code,mean_2019,predicted_from_neighbors,historic_est,predicted_from_sales,predicted_rt,imputed,rent_quant
Prince's Bay,-38.5847787640154,27.960542433332378,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Prospect Heights,-38.46440690945223,28.067707055032024,1,2603.3333333333335,2545.6111111111113,2565.9375707192885,2544.232922224643,2698.3336022927692,2603.3333333333335,4
Prospect Park,-38.464788205995305,28.057543260428357,1,2402.0,2440.194444444445,2518.475028631746,2470.5094607552537,2203.694791581875,2402.0,4
Prospect-Lefferts Gardens,-38.45468901153766,28.054813845000055,1,,2111.6388888888887,,,2052.7892278092277,2052.7892278092277,3
Queens Village,-38.34780153121642,28.094767819511144,3,,1913.0025252525254,,,1945.607674177674,1945.607674177674,3
Randall Manor,-38.538243119999976,28.038863609109136,4,,1665.229797979798,,,1711.988332090749,1711.988332090749,1
Randall's Island,-38.440962169967776,28.14610700076107,2,,2080.416666666667,,,1987.244138022471,1987.244138022471,3
Red Hook,-38.48483911444818,28.06516534102062,1,2456.3333333333335,2686.8888888888887,2353.9785143391036,2959.6839876373606,2635.548161375662,2456.3333333333335,4
Rego Park,-38.408021340000005,28.099425953694038,3,1902.4166666666667,1853.6666666666667,1971.6297905365088,1706.628661242346,1891.2885724306554,1902.4166666666667,3
Richmond Hill,-38.39038061368679,28.07770632000004,3,1624.5,1725.25,1640.9294616234922,1942.8434817279383,1692.8921546416543,1624.5,0
Richmondtown,-38.548461748809025,27.993063114922457,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Ridgewood,-38.4319221770558,28.085014877329534,3,1921.9166666666667,2019.888888888889,2055.862860502787,2117.6491856923935,1966.420665800249,1921.9166666666667,3
Rikers Island,-38.418538229664,28.146516967221952,0,,1836.8055555555557,,,1898.814918229918,1898.814918229918,2
Riverdale,-38.433953959658325,28.216714602554248,0,1879.5,1721.8333333333333,1975.993547150265,1585.8262179845717,1803.2695164742668,1879.5,2
Rockaway Beach,-38.38021838468914,28.005789752628715,3,,1827.280303030303,,,1771.3927831890333,1771.3927831890333,2
Rockaway Park,-38.39256918825653,28.000925643720123,3,,1751.7777777777776,,,1734.8021133958634,1734.8021133958634,1
